,SampleDate,N Gene gc/g dry weight,N Gene gc/g dry weight UCI,N Gene gc/g dry weight LCI,PMMoV gc/g dry weight,PMMoV gc/g dry weight UCI,PMMoV gc/g dry weight LCI,BCoV Recovery,BCoV Recovery UCI,BCoV Recovery LCI,N_norm_PMMoV,City
67,2022-06-19,,,,,,,,,,,Merced
68,2022-06-20,277775.384854195,340469.870388008,208742.555063293,2122229817.97377,2606812482.88805,1754104403.35841,1.18904,1.32932,1.04208,0.0001308884563309949,Merced
69,2022-06-21,486068.135246317,587519.913298304,390987.998639432,3942215939.48766,4070732835.29167,3809885401.10083,1.19906,1.36606,1.0521,0.0001232982014956511,Merced
70,2022-06-22,837367.69205071,996350.938215374,722095.885159288,3727694611.11504,4134143173.71102,3365911043.01368,1.46292,1.59652,1.32932,0.00022463419872268827,Merced
71,2022-06-23,473572.223641198,547018.71114022,361115.687711941,3443904436.59845,4214060152.55257,2745578578.95799,0.74482,0.82832,0.64796,0.00013751026846405356,Merced
72,2022-06-24,,,,,,,,,,,Merced
73,2022-06-25,836256.366454536,1064146.81087378,639585.366167627,2739579808.1922,3309210351.87373,2277913460.87823,1.19238,1.33266,1.06212,0.0003052498649442035,Merced
74,2022-06-26,,,,,,,,,,,Merced
75,2022-06-27,674608.379476367,724007.998178353,627360.753624292,2553720632.49267,2915890233.37361,2212952178.1236,0.8016,0.95524,0.6513,0.00026416686731229726,Merced
76,2022-06-28,701709.977600068,1004772.03969242,388825.763871534,3246513050.97114,3373589747.64611,3101530977.12437,0.9018,1.06546,0.76152,0.0002161426634000942,Merced
77,2022-06-29,214636.565639408,273340.463549248,150633.149727338,998729491.62755,1060691845.42187,925350555.196073,0.39078,0.46092,0.32732,0.00021490961009835795,Merced
78,2022-06-30,671133.135158991,774093.524315769,569617.725717913,2493266328.12668,3055643771.65942,2218114538.01951,1.07548,1.37608,0.90848,0.000269178277341614,Merced
79,2022-07-01,,,,,,,,,,,Merced
80,2022-07-02,825444.028852192,1047496.00247291,573238.876608763,2805816314.59737,3280663095.77531,2406060280.67051,2.00066,2.45156,1.6867,0.00029419033047808115,Merced
81,2022-07-03,,,,,,,,,,,Merced
82,2022-07-04,608303.153759523,739283.97512806,481939.066293551,2508702620.63589,2705579822.32869,2324588609.18185,2.06078,2.34134,1.7702,0.00024247718671626935,Merced
83,2022-07-05,415065.379592055,472713.216804676,365291.898160446,2324915161.01569,2399329063.05097,2242347133.1116,1.19906,1.35938,1.02872,0.00017852925842279968,Merced
84,2022-07-06,535767.892771529,622448.725706836,427701.636628652,2429091903.67224,3040856046.67667,1978555432.42996,1.65664,2.26452,1.11556,0.0002205630392006036,Merced
85,2022-07-07,759485.45543825,973921.534099412,507269.394971438,4337956861.14547,5769646939.01933,3237736806.82306,2.29792,2.8724,1.70006,0.00017507907057372215,Merced
86,2022-07-08,1124646.00278769,1556954.04879979,751640.660514061,2923772590.63348,3157573793.40625,2687922680.64634,1.41616,1.59652,1.24916,0.0003846557719265089,Merced
